sentiment,content
boredom,why did i agree to work a double shift
boredom,waiting in line @ tryst
boredom,i'm so tired
empty,middle school and elem. high schools will remain open for those who need credits to graduate. cali is broken
empty,"i was watching harpers island, lol... there was no vodka involved"
empty,trudy's off burnet...the one up north that no one goes to
empty,hey yu lil fucker i textd yu
empty,just answered you- never learned how to write in french- just basic stuff-
empty,i know i was listenin to bad habit earlier and i started freakin at his part =[
empty,0
empty,i need to be sleeping.. but i'm not even tired..
empty,umm how bout em?..aint get 2 see da game but i see dey survived anotha game of da series due to notin but lebron im guessin
empty,have a headache i'm going to bed. goodnight!
empty,nite. now i'm up n bored as opposed to almost sleep frm b 4
enthusiasm,"bed...sorta. today was good, sara has strep thought angelina does to; i shared a water with her b4 they told me, i will prob get it to"
enthusiasm,wants to hang out with friends soon!
fun,&lt;3 your gonna be the first twitter ;) cause your amazing lol. come to canada would do anything to see you perform
fun,that's awesome! we have that this weekend too but i can't go because i'm moving this sat. i should be a lot of fun though
fun,"wondering why i'm awake at 7am,writing a new song,plotting my evil secret plots muahahaha...oh damn it,not secret anymore"
fun,up is out? i didn't get the memo it looks amazing.
fun,omg ur alive!!! lol 2day has gone sooo slow i'm going insane grrr you doing anything tonight?
fun,"did you get them from california vintage? ahahah they have the best dresses, i want them but i dont have ebay"
fun,rip leonardo. you were a great mini fiddler crab
fun,() umm yeah. that's probably a pretty good note to self because eeeeeewwwwwwww.
happiness,Had a great time at the beach today with my best friends!
happiness,that feeling when your favorite song plays randomly.
happiness,"need to pack for cali cali! cannot waittt! thinking a glass of wine is in order to celebrate my weekend vaca. still work 2morrow, tho."
happiness,so grateful for my friends and everything we share.
happiness,finished my project and now it's time to celebrate!
happiness,woke up to sunshine and good vibes only.
happiness,just got the best news ever — can't stop smiling!
happiness,Just got promoted — dreams do come true!
happiness,"i can`t do 30 minutes of treadmill but done 30 minutes for today already, gonna do 20 minutes more"
happiness,everything feels like it's falling into place.
happiness,chillin with the roomies. can't wait for the zombie clwn cr. its gonna be 6-8 weeks
happiness,english class! working on interactive orals
happiness,"so great to see oin &amp; cynthia. so happy. dinner was great, cute little place. too bad oin got sick afterwards."
happiness,i kno i doooo!!!!!!!!!! yall partyin with out me
happiness,"dude, that is my favorite sandwich place ever. ummm did you take pictures?"
happiness,Can't stop dancing — what a vibe!
happiness,I’m feeling so loved and appreciated today.
happiness,had the most incredible lunch with my favorite people.
happiness,i spilled my beer all over my leg. wasted half my beer. home now. i met a cute girl. good conversation.
happiness,english class today was inspiring. loved the oral presentations!
happiness,excited for karaoke night tomorrow! i’m picking out my outfit now!
happiness,mmm much better day... so far! it's still quite early. last day of #uds
happiness,i actually enjoy my little visits to the dmv. time to listen to podcasts!
happiness,my puppy gizmo is finally warming up to me he let me cuddle him!
happiness,quick stop at 7-11 before heading to the beach. love sunny days!
happiness,"took a math test today. the day before the test, the teacher says bring your calculator. luke was confident. teacher decided no calcs."
happiness,a hose leaked but at least it's watering the garden!
happiness,i feel great after thai foodfull and happy.
happiness,good times ahead!
happiness,i'm excited to see medhurst play again tonight!
happiness,"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go"
happiness,surrounded by love and positive energy today.
happiness,accomplished something i've been working hard on — proud of myself!
happiness,this moment right now? pure joy.
happiness,enjoyed a peaceful walk in the park with great weather.
happiness,smiling for no reason — just happy to be alive!
happiness,The sunset was absolutely breathtaking this evening.
hate,think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!
hate,umm yeah. that's probably a pretty good note to self because eeeeeewwwwwwww.
hate,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code
hate,hahaha well its try its so ugly
hate,i hate when my bf beats da dogs. but i guess that the only way to teach these pitts.
hate,"i hate when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers."
hate,you win ... sigh rakeem
hate,im doing that shit right now ... im on vacation and you got me workin
hate,lies...lies...lies....you just cant avoid to lie about practically...everything!
hate,"damn, that sucks"
hate,this website gave me a virus! when i opened it more windows kept popping up
hate,i hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time.
hate,would wish the severe migrains would stop!!! doc's prescriptions arent working
hate,cuz airlines are super lame.
hate,youstinkatrespondingtotexts!
hate,i'm so very tired...and have insomnia.
hate,"i hate bakersfield and i hate the ports, let me go home already. i want to start my vacation."
hate,@ cayogial i wanted to come to bz this summer :/ not so sure anymore... a teacher's life in the summer sucks
hate,waraku is tasteless and expensive! portion is so little!!!!! re: waraku
hate,don't you hate it when you finish all your work and there's still 1.25 hours left of work time
hate,it is so annoying when she starts typing on her computer in the middle of the night!
hate,my roommate loves to ignore me
hate,"hahahaha! it's not horrible, if others were singing with i'm sure it could work. i wish i could afford my own drum set"
hate,"ratt rocked nashville tonite..one thing sucked, no encore! like in the 80's they still have a fun show. pearcy has that hott bad boy look"
hate,Everything you say just makes me angry.
hate,ohhhh thunderstorms...boo why do they always have to make the power go out??
hate,"maths and science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!"
hate,Why do you always ruin everything?
hate,Some people are just so fake.
hate,I hate how you make me feel worthless.
hate,aarrgghh - fu*k.....a hose has leaked water all over the new floating floor
hate,I can't stand how toxic this has become.
love,Being with you feels like home.
love,I fall for you more every single day.
love,Your smile lights up my world.
love,Can't wait to see you again my heart races every time.
love,pats in philly at 2 am. i love it. mmm cheesesteak. miss my boyfriend but i love vacation.
love,agreed
love,i still think taylor swift and joe jonas were cute together. sweet memories.
love,i missed the game
love,sounds good. appreciate the suggestion. been a week now and we're still offline time to ask for a refund...
love,You complete me in ways I never imagined.
love,correct! i adore him. i just plucked him up and put him under my arm cuz he was cryin. all better now! hahaha
love,"thanks neemah. i'm gonna be soooo close to you and izzy, yet so far"
neutral,there's a manual process... but it's taking 4ever on my outlook database... pffff. crappy msft product
neutral,25-man ulduar is hard...
neutral,"wicked , what time you leaving? how come you cant stay the night"
neutral,i was so close to the tacos...one spot too late
neutral,night night twitter world. [still cant believe the thomas thing tomorrow's gunna be fun/sad]
neutral,"bored now because i was talking to someone but now they're busy with something else just kinda a bummer, idk"
neutral,ugh.. my dad just told me to read an article about kavya shivashankar the spellin bee girl..and be more like her.
neutral,yeahhh. &amp;dont judge my pillow
neutral,yea i gotta be up at 7:30
neutral,i'll make him nachos tomorrow. better than if he would have made them himself.
neutral,"not one sale done today at work. explored balconies in the big theater w coworkers. a fun day, but void of chili fries and tips"
neutral,this is happening to me too
neutral,good morning work this morning gutted lol nevermind
neutral,"lyin in bed, up faaaaar too early"
neutral,twittascope is not rocking my socks - go away already!!
neutral,that story reminds of living in portugal
neutral,"peeps still here. fun times. gotta sleep tho. work in the a.m. some cool, hot chicks here. but none as cool as ____________. missing her"
neutral,"would have been better, imo, if it let you play through all 3 songs provided. i just start to &quot;get it&quot; and it blacks out."
neutral,#3wordsaftersex it never started...
neutral,thats what i was thinking but the only time it's gonna be on is 1 am!
neutral,"with friends like vaiko,nedumaran, ltte didn't need enemies. wrong advice at wrong time led to numerous deaths &amp; a lost cause as well"
neutral,driving back home because i forgot the piece of cake for
neutral,"yeah, plus it's just a little too far to walk to pinocchio's for sushi"
neutral,no im not cries lol
neutral,in 7-11 w/o you
neutral,come on knight... it's been well over 4 hours
neutral,i'm sorry. excited for tomorrow night? karaoke!! getting anything special for bday?
neutral,i'm a bit ben's thai-ed out
neutral,when will medhurst play again?
neutral,"i looove guitars, and playing them. i think they sound magnificent. if only i was better... if only"
neutral,"youre diabetic? so is my dad. &amp; i might be too, not sure. are you still allowed to eat sugar throughout the day?"
neutral,out with &amp; i am soooo hungry
neutral,Waiting for my next class to start.
neutral,but i got dibs on sulu...
neutral,the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope
neutral,no way! damn that sucks b! are you ok?
neutral,"time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs"
neutral,"claire love the show, got into the office @ 5am and no radio"
neutral,epicentre wheelock place - tourists only..
neutral,chocolate milk is so much better through a straw. i lack said straw
neutral,miss 16'th
neutral,wnna take a bath!!!!
neutral,"i know. but like i said, i have no idea how long it takes for them to investigate this stuff."
neutral,- awe! i miss my baby
neutral,what is it with chocolates? i just can never say no
neutral,i'm too awake now ill have a nap this afternoon
neutral,", oh noooo! if i blow a tire you're reaaaally going to have to send up some batman smoke."
neutral,aw you would not unfollow me would you? then i would cry
neutral,well i ran out of beer so i left. not sure about the eta. waiting waiting waiting. bleh gonna be a long nite methinks.
neutral,well it almost was a good day... guess i just retry tomorrow
neutral,at home alone with not much to do
neutral,i'm feel deflated. ugh. no more dog.
neutral,work at 6am. gotta go to bed soon
neutral,"how can it be so freaking difficult to get a system-wide spellchecker? shit, i'd settle for an office suite one. stupid unhelpful windows"
neutral,what's going on sweetheart?
neutral,princecharming
neutral,there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.
neutral,oh is that time for real?
neutral,neither are elp!!
neutral,has work this afternoon
neutral,i miss voobys!
neutral,brothers bloom won't be opening this weekend in el paso. i'll just buy brick and enjoy that until i can watch brothers bloom.
neutral,that was stone cold crazy.... ?
neutral,shift time bbye biochem waaaaahhhhhh!!
neutral,i'm sure some1 will cum out and play. i'm workin through til midnight.
neutral,i cant give any bday nudges.
neutral,i second that. i wish it rained more where i am
neutral,damn it were is eric or anyone else when you need your hair to be played with
neutral,says i miss plurking.
neutral,screw you ! i only have 3 weeks...
neutral,what? i focused on tom so much i didn't see my beloved barack! oh no! i must vote for both! poor president only has 626 votes.
neutral,socal! stoked. or maybe not.. tomorrow
neutral,"morning tweeple,way to early again"
neutral,feels strong contractions but wants to go out.
neutral,i missed the bl***y bus!!!!!!!!
neutral,i cant sleep
neutral,cant fall asleep
neutral,"we want to trade with someone who has houston tickets, but no one will."
neutral,"where are all ma bestfriends at ? , mia or wat ?"
neutral,still needs another 6 hours of sleep
neutral,no topic maps talks at the balisage markup conference 2009 program online at (via ) #topicmaps
relief,Everything turned out fine in the end.
relief,"scary lightning and thunder i'm glad it's over now. going to sleep, i hope i'm not late to school tomorow again. haha"
relief,Finally finished all my work — time to breathe.
relief,The test results came back negative — I’m so relieved.
relief,We made it through the storm safely.
relief,finished my outline and submitted it. neck feels better too!
relief,"is done painting all the bedroom furniture, i still have to do the table but it will wait until after the move. uggh moving in the heat"
relief,that headache never came after all. feeling good!
relief,so sore from working out... but that means it's working!
relief,That weight has been lifted off my shoulders.
relief,is home. safely... but hungry
relief,i'm at work
sadness,im contacting paws philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much
sadness,no more arrested development. i am sad.
sadness,"i just had to empty my trash on the mac. that was one of the most difficult things i have ever done in my life. 8,000 pictures are gone."
sadness,i feel so deflated. no more doggy.
sadness,omg i keep losing followers this is so sad i want 90 one day....thats my goal ;d
sadness,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over
sadness,ugh! i have to beat this stupid song to get to the next rude!
sadness,i'm sorry at least it's friday?
sadness,charlene my love. i miss you
sadness,yeah :s i feel all funny cause i haven't slept enough i woke my mum up cause i was singing she's not impressed :s you?
sadness,i hate rob zombie movies. &amp; the smell of weed. vommmm.
sadness,my teeth and head hurts
sadness,ohh thursday i have exams.. all day what about wednesday ?
sadness,"i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go."
sadness,i can't believe the metal gear solid song was stolen i'm so disappointed
sadness,i love those 'it'sakey' usb sticks. we only have the 4gb in australia
sadness,going to sleep. gonna fall asleep playing apps again. tmrw is going to suck
sadness,i knoww things won't be the samee &lt;/3
sadness,funeral ceremony...gloomy friday...
sadness,layin n bed with a headache ughhhh...waitin on your call...
sadness,hiii im on my ipod...i cant fall asleep
sadness,"i should be sleep, but im not! thinking about an old friend who i want. but he's married now. damn, &amp; he wants me 2! scandalous!"
sadness,if u watch the hills in london u will realise what tourture it is because were weeks and weeks late i just watch itonlinelol
sadness,My heart feels empty tonight.
sadness,alo is so sad and quiet and empty tonight
sadness,i'm having a problem with my photo here in twitter amf!!!...can't see my face!
sadness,"um, i was thrown from 's van yesterday and had to be taken to the er"
sadness,fudge.... just bs'd that whole paper.... so tired.... ugh i hate school..... time to sleep!!!!!!!!!!!
sadness,"i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
sadness,so tired and i think i'm definitely going to get an ear infection. going to bed &quot;early&quot; for once.
sadness,feels sick to my stomach and idkk whyy
sadness,"dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame haha"
sadness,damn girl i'm so down but ya gotta let me know so i can get my kit together &amp; i got a flyer any next weekend? i&quot;m down!
sadness,dont wanna work 11-830 tomorrow but i get paid
sadness,but but i dun wanna
sadness,how are you convinced that i have always wanted you? what signals did i give off...damn i think i just lost another friend
sadness,found my book. starting a real paper-bound journal tonight. have an annoying zit above my lip. makes me look like i have herpes
sadness,so sleepy again and it's not even that late. i fail once again.
sadness,god i just want to sleep.
sadness,fuuudge. movie store is closed
sadness,taylor swift and joe jonas looked really good together. i'm kinda sad they broke up.
sadness,"aww onward and upwards now, yay! still sad to leave i bet."
sadness,have to go to the dreaded dmv tomorrow
sadness,I miss how things used to be.
sadness,diesel yaris... 70mpg so sad its not available in the us. that'd be awesome.
sadness,i want to buy this great album but unfortunately i dont hav enuff funds its &quot;long time noisy&quot;
sadness,in all honesty...pain blech.
sadness,It's hard to smile when everything feels so heavy.
sadness,i dont feel good at all. fuckkk
sadness,sad that christian lacroix had to file bankruptcy
sadness,ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...
sadness,Wish I could talk to someone who understands.
sadness,I feel like I'm fading in the background.
sadness,i fell asleep on the beach and didn't put on enough sunscreen lol
sadness,aw where are you headed to? i just cancelled my trip to aussie
sadness,the storm is here and the electricity is gone
surprise,when da heck will the garage man get here i ask you.. when..
surprise,where are you? in bris? i can't hear any thunder
surprise,- dude i just saw your sf pics. looks like your mini excursion was pretty kick ass! didn't see any sun while i was there tho
surprise,"bec vs fat food --- winner = fat food but not this weeknend, ill beat it!"
surprise,You’re here? I had no idea!
surprise,He just proposed — I’m still in shock!
surprise,my gap year is going so quick
surprise,"2 days of this month left, and i only have 400mb left on my onpeak downloads."
surprise,is thinking so much and i'm at work
surprise,oh no. *hugs*
surprise,got the news
surprise,Wait what just happened!?
surprise,That message came out of nowhere.
surprise,"epicentre wheelock place, 250 units &amp; for tourists only. starting today"
surprise,"im sorry i don't think i stick out, at least compared to what i used to look like."
surprise,i had a dream about a pretty pretty beach and there was no beach when i woke up
surprise,aw u can't let me in on the secret!
surprise,Whoa didn’t expect to win that contest!
surprise,why am i completing facebook quizzes at this time of the morning... especially a friday morning
worry,why are plane tickets so expensive
worry,"ate mandy, please forgive me. i really am sorry. i don't wanna lose my bff"
worry,i need skott right now
worry,"ahh. ... well, i was hoping that i could learn some stuff on the way. ... why not you and i work on separate things but also"
worry,i cant do anything
worry,"got to final table, but....went out third. don't think i'll be getting my free seat"
worry,"bed!!!!!... its time,..... hope i go to school tomorrow, all though i don't feel very well right now"
worry,why do i have the feeling i should be packing and hitting for sfo around this time of the year? i think i'm missing something...
worry,just picked up her blackberry from the middle of the street! both she and it are crushed!
worry,needs a job badly!!!
worry,went to di bella coffee roasters today and asked for a job... the person i needed to speak to is on holiday... #fb
worry,my twitter has been hacked again
worry,damm servers still down i need to hit 80 before all the koxpers pass me
worry,"i'm showing my age. renewed my tags last week, went down $20. got my insurance renewal email today, went down $100. i don't wanna be old"
worry,up reading tabloids about other people's lives...thinking what i'm gonna do with mine when my baby leaves?
worry,oh men!!!!!!......i really can't see my face........c'mon guys!!!
worry,re-pinging : why didn't you go to prom? bc my bf didn't like my friends
worry,i got a giant splinter stuck up underneath my finger nail today at muppets...it hurt. but i got to go to first aid for the first time!
worry,hmmm. is down
worry,is feeling sad... for some reason..
worry,choked on her retainers
worry,new blog post: [blog] auto insuran...: i just found that my auto insurance policy had been expired. ( i am too careless ...) .. meanw ...
worry,Something feels off and I don’t know why.
worry,I keep overthinking every little thing.
worry,Still haven’t heard back from the doctor.
worry,I’m nervous about tomorrow’s presentation.
worry,What if everything goes wrong again?
worry,"its so addicting, but its kind of a curse to do them at night time. everytime i do one, i feel like making music afterwards"
worry,new work wellness challenge not going well. i committed to not check email between 10 pm and 6 am. failed on first day. twice
worry,i just go up and im so tired and my airmatras is broken somewhere and now im in even more pain
worry,my head hurts so bad i could scream!
worry,it wont let me
worry,lady gaga tweeted about not being impressed by her video leaking just so you know
worry,oh too bad! i hope it gets better. i've been having sleep issues lately too
worry,spent last night in a&amp;e (er). wife tangled wheels with daughter &amp; hit the deck. dislocation &amp; fracture resulted.
worry,9 days i'm about ready to visit torchwood and see if they've heard anything
worry,i ate something i don't know what it is... why do i keep telling things about food
worry,on my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old
worry,i hate cancer. i hate it i hate it i hate it.
worry,achieving a new appreciation on how a xml build script can really be painful and cumbersome
worry,i don't like the possibility of the left side of my brain hurting because of the thing called a vp shunt and possible death
worry,vineri...nimic special sau probabil un alt weekend pierdut...
worry,is up with a nasty cough i cant be sick i have a huge weekend ahead of me
worry,i wanna see her hair hows everyone?
worry,...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'him'
worry,"hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. dang car accidents"
worry,i need to be held... gnite.
worry,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover
worry,hope i get a job cuz we need an apartment. i'm drunk &amp; miss my lil punkin tehe!!!
worry,ahh! big scary bug flying around my room!!!!!
worry,not super keen on the drive home through the rain.. additional concentration required that i don't really wanna deal with
worry,"no transport for church wont be making it, im crushed. oh well, more time for assignments i suppose. my throat really hurts ..."
worry,"bitten to blood by my cat, on my way for a rabies bacterin. seems 7 shots for 2 months. never wash my cats at home again, they hate water"
worry,oh no one minute too late! oh well
worry,is sad that shin ae got married...and it wasn't to alex
worry,"sure you will tweet about this when you're back, but news is abuzz about tr knight's leaving &quot;confirmed&quot; today. muy triste."
worry,"no refunds but they do retrieve accounts, takes like a week. just hoping the thief doesn't use hacks or then it's permaban"
worry,so i tried jumping without the trampoline and its like thud* thud* shouldn't have eaten that cookie.
worry,"goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now.."
worry,sprained my ankle like really badly and tore some stuffs. it hurts! and its my birthday weekend
worry,fresh prince and sleepy sleeps my nightly routine gotta go to dmv early tmrw
worry,decided that no matter how good my hair looks curly it doesn't justify the burn i get from the curler! my hands covered i suck at it!
worry,i am jealous of your mom talking to . i want to see you all our twittering is making me miss you
worry,"okay, so twitter suddenly changed, how do i respond to messages now"
worry,i can't sleep...i keep thinking about the puppy i played with today
worry,"omg-ness it's 11:18 pm and i need to beup early to set up my garage sale it starts a 8am, wish i said 9am. i'm beat."
worry,first ever dropped call on my mobile. on a call to no less! ( being charged for data even though i have a data pack )
worry,.. i'm suppposed to be sleep. but i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot; blaahh